sku,make,year,model
2363-CAIS-BA,Ford,2015,Focus
2363-CAIS-BA,Ford,2016,Focus
2363-CAIS-BA,Ford,2017,Focus
2363-CAIS-BA,Ford,2018,Focus
2363-CBE-AA,Ford,2013,Focus
2363-CBE-AA,Ford,2014,Focus
2363-CBE-AA,Ford,2015,Focus
2363-CBE-AA,Ford,2016,Focus
2363-CBE-AA,Ford,2017,Focus
2363-CBE-AA,Ford,2018,Focus
2363-CHK-BLK,Ford,2013,Focus
2363-CHK-BLK,Ford,2014,Focus
2363-CHK-BLK,Ford,2015,Focus
2363-CHK-BLK,Ford,2016,Focus
2363-CHK-BLK,Ford,2017,Focus
2363-CHK-BLU,Ford,2013,Focus
2363-CHK-BLU,Ford,2014,Focus
2363-CHK-BLU,Ford,2015,Focus
2363-CHK-BLU,Ford,2016,Focus
2363-CHK-BLU,Ford,2017,Focus
2363-CHK-RED,Ford,2013,Focus
2363-CHK-RED,Ford,2014,Focus
2363-CHK-RED,Ford,2015,Focus
2363-CHK-RED,Ford,2016,Focus
2363-CHK-RED,Ford,2017,Focus
2363-CHK-YEL,Ford,2013,Focus
2363-CHK-YEL,Ford,2014,Focus
2363-CHK-YEL,Ford,2015,Focus
2363-CHK-YEL,Ford,2016,Focus
2363-CHK-YEL,Ford,2017,Focus
2363-CPK-BLK,Ford,2013,Focus
2363-CPK-BLK,Ford,2014,Focus
2363-CPK-BLK,Ford,2015,Focus
2363-CPK-BLK,Ford,2016,Focus
2363-CPK-BLU,Ford,2013,Focus
2363-CPK-BLU,Ford,2014,Focus
2363-CPK-BLU,Ford,2015,Focus
2363-CPK-BLU,Ford,2016,Focus
2363-CPK-RED,Ford,2013,Focus
2363-CPK-RED,Ford,2014,Focus
2363-CPK-RED,Ford,2015,Focus
2363-CPK-RED,Ford,2016,Focus
2363-CPK-YEL,Ford,2013,Focus
2363-CPK-YEL,Ford,2014,Focus
2363-CPK-YEL,Ford,2015,Focus
2363-CPK-YEL,Ford,2016,Focus
2363-CS-AA,Ford,2013,Focus
2363-CS-AA,Ford,2014,Focus
